name,description,website,region,category,country,city_state,member_count,status,type,format
"FOSS United","FOSS United is a non-profit foundation that aims at promoting & strengthening the Free and Open Source Software (FOSS) ecosystem in India.","www.fossunited.org","Southern Asia","non-profit community-building and outreach","India","","","Active","Non-profit Organization","hybrid"
"Tattle Civic Tech","Tattle is a private company, consisting of a community of researchers, technologists and artists building open source ML based tools and datasets for collective response against online harms in India.","https://tattle.co.in/","Southern Asia","business, research, technology","India","","","Active","Private Company","hybrid"
"CNCF Kolkata","Cloud Native Computing Foundation Chapter","community.cncf.io/kolkata","Southern Asia","Cloud Native","India","Kolkata, WB",235,"Active","CNCF Chapter","hybrid"
"Cloud Native Taiwan User Group","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-taiwan-user-group","Eastern Asia","Cloud Native","Taiwan","Taipei",258,"Active","CNCF Chapter","hybrid"
"CNCF Ahmedabad","Cloud Native Computing Foundation Chapter","community.cncf.io/ahmedabad","Southern Asia","Cloud Native","India","Ahmedabad, Gujarat",470,"Active","CNCF Chapter","hybrid"
"CNCF Singapore","Cloud Native Computing Foundation Chapter","community.cncf.io/singapore","South-Eastern Asia","Cloud Native","Singapore","Singapore",177,"Active","CNCF Chapter","hybrid"
"CNCF Hyderabad","Cloud Native Computing Foundation Chapter","community.cncf.io/hyderabad","Southern Asia","Cloud Native","India","Hyderabad",1351,"Active","CNCF Chapter","hybrid"
"CNCF Pune","Cloud Native Computing Foundation Chapter","community.cncf.io/pune","Southern Asia","Cloud Native","India","Pune, Maharashtra",888,"Active","CNCF Chapter","hybrid"
"Cloud Native Seoul","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-seoul","Eastern Asia","Cloud Native","South Korea","Seoul",130,"Active","CNCF Chapter","hybrid"
"Cloud Native Bangalore","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-bangalore","Southern Asia","Cloud Native","India","Bengaluru, Karnataka",347,"Active","CNCF Chapter","hybrid"
"CNCF Dubai","Cloud Native Computing Foundation Chapter","community.cncf.io/dubai","Western Asia","Cloud Native","United Arab Emirates","Dubai",26,"Active","CNCF Chapter","hybrid"
"CNCF Kochi","Cloud Native Computing Foundation Chapter","community.cncf.io/kochi","Southern Asia","Cloud Native","India","Kochi, Kerala",553,"Active","CNCF Chapter","hybrid"
"Kubernetes Chaos Engineering Meetup Group","Cloud Native Computing Foundation Chapter","community.cncf.io/kubernetes-chaos-engineering","Southern Asia","Cloud Native,Chaos Engineering","India","Bengaluru, Karnataka",351,"Active","CNCF Chapter","hybrid"
"CNCF Lahore","Cloud Native Computing Foundation Chapter","community.cncf.io/lahore","Southern Asia","Cloud Native","Pakistan","Lahore, Punjab",78,"Active","CNCF Chapter","hybrid"
"CNCF Islamabad","Cloud Native Computing Foundation Chapter","community.cncf.io/islamabad","Southern Asia","Cloud Native","Pakistan","Islamabad",517,"Active","CNCF Chapter","hybrid"
"CNCF Chennai","Cloud Native Computing Foundation Chapter","community.cncf.io/chennai","Southern Asia","Cloud Native","India","Chennai, Tamil Nadu",749,"Active","CNCF Chapter","hybrid"
"CNCF Kathmandu","Cloud Native Computing Foundation Chapter","community.cncf.io/kathmandu","Southern Asia","Cloud Native","Nepal","Kathmandu",98,"Active","CNCF Chapter","hybrid"
